microsample	total_sequences	total_trimmed_sequences	percent_gc	percent_unique	reads_mapped_host_percent	reads_mapped_human_percent	reads_mapped_bacteria	reads_mapped_bacteria_percent	reads_mapped_other_percent	quality
M300757	28509168	8682884	67.92857142857143	36.26149284884969	0.017142857142857144	0.06285714285714286	7601658	75.26423999602538	24.73576000397462	4
M300758	19807412	14469342	59.357142857142854	69.58011575396144	0.025714285714285714	0.017142857142857144	12519612	75.99844294562983	24.001557054370167	5
M300759	19249204	16635050	55.357142857142854	77.70693772322218	0.025714285714285714	0.017142857142857144	14262981	74.908680299145	25.091319700854996	4
M300760	21348604	18666492	52	82.03792435173938	0.017142857142857144	47.8	7010722	72.21112751467722	27.788872485322784	3
M300761	23205464	20809562	55.142857142857146	85.0210844278548	0.017142857142857144	0.008571428571428572	17836856	76.75205719288354	23.24794280711646	5
M300762	4317454	115858	75.14285714285714	27.336727870244985	0.09285714285714286	27.19	927	1.0081327364199175	98.99186726358008	0
M300763	25006014	23524674	55.214285714285715	89.30419974893975	0.011428571428571429	0	20295680	78.48804331186672	21.51195668813328	5
M300764	21307922	19619690	55.357142857142854	86.14420086473646	0.017142857142857144	0.008571428571428572	16948447	75.26793984135267	24.73206015864733	5
M300765	28901236	56532	75.35714285714286	14.326533174380161	0.08142857142857143	9.502857142857144	20903	37.35017244734571	62.64982755265429	1
M300766	19963652	19221778	54.285714285714285	90.23090649162165	0.03	0.01	16604777	86.4302229384769	13.569777061523098	5
M300767	19998684	18768126	53.642857142857146	72.18240535840884	0.008571428571428572	0.05857142857142857	15972731	75.61497753392194	24.385022466078055	5
M300768	19900918	8805098	64.71428571428571	49.77942519915912	0.021428571428571425	0.03	7605425	74.25736553931534	25.742634460684656	3
M300769	14538534	26216	74.85714285714286	16.166504183123564	0.5271428571428571	17.42857142857143	432	1.8773025465941369	98.12269745340586	1
M300770	1079406	409240	65.5	58.31863117982533	0.032857142857142856	12.907142857142857	3982	0.9430514964735456	99.05694850352646	1
M300771	35217072	3738106	71.78571428571429	22.196269886002774	0.024285714285714285	0.045714285714285714	3194190	73.44557948822464	26.554420511775362	2
M300772	18893568	14838870	58.07142857142857	72.72622051956428	0.07142857142857142	0.11714285714285715	12781181	75.43944088065835	24.560559119341647	5
M300773	19721800	16414622	58.07142857142857	76.43129662721635	0.03428571428571429	0.017142857142857144	14276984	75.22127182926056	24.77872817073944	5
M300774	22922994	20678828	55.285714285714285	82.98859710893142	0.03428571428571429	0.008571428571428572	17884140	76.16395787451893	23.83604212548107	5
M300775	16826302	13383026	57.07142857142857	77.06832560450508	0.008571428571428572	0.05714285714285715	11545511	75.26500947988502	24.734990520114977	5
M300776	36180034	6380234	70.85714285714286	27.8042426602258	0.08571428571428572	0.03	5450188	73.39951654573369	26.60048345426631	2
M300777	34290892	75874	75	14.16887054859763	0.19285714285714287	3.1471428571428572	38387	46.82105108783764	53.17894891216236	2
M300778	45134914	8530858	70.42857142857143	28.310838528729835	0.008571428571428572	0.06428571428571428	7328937	73.85565397689763	26.144346023102372	2
M300779	39655556	20166	74.78571428571429	14.050709420824845	0.4685714285714286	12.357142857142858	104	0.6296564500975342	99.37034354990247	1
M300780	32035954	11901184	66	43.10409457473614	0.017142857142857144	0.008571428571428572	10273000	74.90633417540371	25.093665824596286	3
M300781	55151954	22674	75.42857142857143	12.362683131887078	0.4042857142857143	13.874285714285714	828	4.761417328415868	95.23858267158413	1
M300782	39855452	10153854	68.92857142857143	32.852033129289275	0.027142857142857142	0.012857142857142857	8722828	73.7969249544351	26.2030750455649	2
M300783	29071946	5264238	70.35714285714286	28.76970291375262	0.015714285714285715	0.04428571428571429	4510721	73.68165207867399	26.31834792132601	2
M300784	50347740	4561692	73.07142857142857	20.12413089418813	0.017142857142857144	0.032857142857142856	3908017	73.64640797704618	26.35359202295382	2
M300785	47497102	27436	74.78571428571429	13.268546220417253	0.6814285714285714	11.914285714285715	212	0.9651255778523854	99.03487442214761	1
M300786	50684406	2665070	73.78571428571429	17.23191589784171	0.015714285714285715	0.055714285714285716	2239922	72.24649797645846	27.753502023541543	2
M300787	38202246	16839030	64.71428571428571	47.97379347593686	0.060000000000000005	0.008571428571428572	14465190	73.88066294443193	26.119337055568067	3
M300788	33511326	4320036	72.07142857142857	23.605848443325502	0.032857142857142856	0.03428571428571429	3695484	73.54651390234226	26.453486097657745	2
M300789	43478834	24374	75.14285714285714	12.928789049187634	0.3785714285714286	9.994285714285715	231	1.1244885592609475	98.87551144073905	1
M300790	40880976	41280	74.85714285714286	12.485927577771823	0.9642857142857143	24.814285714285713	5724	18.54643372147393	81.45356627852607	1
